Freq_ax,HBQ,freq,dmso
1008.24875,751.56655,1008.24875,792.45722
1010.40774,806.25838,1010.40774,639.89539
1012.56674,730.86893,1012.56674,577.11654
1014.72573,758.77233,1014.72573,602.95303
1016.88472,824.41004,1016.88472,586.28389
1019.04371,843.15779,1019.04371,584.72752
1021.2027,750.16227,1021.2027,614.94195
1023.36169,712.10864,1023.36169,606.38191
1025.52068,719.34072,1025.52068,556.35703
1027.67967,716.90315,1027.67967,550.91384
1029.83866,735.07403,1029.83866,593.9921
1031.99765,947.02433,1031.99765,583.43975
1034.15664,1059.74986,1034.15664,593.39144
1036.31564,883.74432,1036.31564,619.0109
1038.47463,721.71508,1038.47463,614.77888
1040.63362,753.0405,1040.63362,584.99877
1042.79261,713.24165,1042.79261,592.2342
1044.9516,726.07453,1044.9516,720.46263
1047.11059,655.46351,1047.11059,862.09737
1049.26958,759.52655,1049.26958,841.77332
1051.42857,735.53696,1051.42857,672.90667
1053.58756,787.5833,1053.58756,573.63648
1055.74655,1067.15805,1055.74655,639.91336
1057.90554,1015.14372,1057.90554,672.75762
1060.06454,965.44692,1060.06454,591.85753
1062.22353,785.01066,1062.22353,595.55928
1064.38252,736.69015,1064.38252,666.12013
1066.54151,703.60842,1066.54151,641.18902
1068.7005,831.37732,1068.7005,579.95719
1070.85949,881.57354,1070.85949,569.63076
